Tai khoan: khoa9090, Loai the: Vina, Menh gia: 50000, Thoi gian: 1621245873
Tai khoan: kotorireal, Loai the: Viettel, Menh gia: 50000, Thoi gian: 1621316032
Tai khoan: duong4097, Loai the: Viettel, Menh gia: 50000, Thoi gian: 1621771385
Tai khoan: SeenBaby144, Loai the: Mobi, Menh gia: 20000, Thoi gian: 1622268981
Tai khoan: ReekyHorizon818, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1622373745
Tai khoan: ReekyHorizon818, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1622373817
Tai khoan: ReekyHorizon818, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1622373896
Tai khoan: ReekyHorizon818, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1622380535
Tai khoan: ReekyHorizon818, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1622380564
Tai khoan: AnhNghok, Loai the: Viettel, Menh gia: 20000, Thoi gian: 1622418036
Tai khoan: SenGaoTV, Loai the: Vina, Menh gia: 10000, Thoi gian: 1622432832
Tai khoan: BuzzingAsh80644, Loai the: Mobi, Menh gia: 20000, Thoi gian: 1624516726
